outcome,Qwen3 fused MAE (95% CI),Qwen3 unfused MAE (95% CI)
length_of_stay,"88.1 [87, 89.1]","93.5 [92.4, 94.7]"
max_dbp,"18.8 [18.5, 19.1]","19.2 [18.9, 19.5]"
max_heart_rate,"18.9 [18.6, 19.2]","19.8 [19.5, 20.1]"
max_sbp,"20.3 [20, 20.6]","20.8 [20.5, 21.1]"
max_sodium,"2.97 [2.95, 3]","3.04 [3.02, 3.07]"
min_glucose,"21.9 [21.7, 22.2]","21.5 [21.3, 21.8]"
min_hemoglobin,"1.8 [1.79, 1.81]","1.8 [1.79, 1.81]"
min_potassium,"0.378 [0.375, 0.38]","0.383 [0.381, 0.386]"
min_sodium,"3.34 [3.32, 3.37]","3.34 [3.31, 3.36]"
peak_bnp,"4.59e+03 [4.37e+03, 4.82e+03]","4.46e+03 [4.24e+03, 4.7e+03]"
peak_creatinine,"0.896 [0.883, 0.908]","0.89 [0.877, 0.902]"
peak_potassium,"0.475 [0.469, 0.483]","0.474 [0.468, 0.481]"
peak_troponin,"0.861 [0.81, 0.922]","1.05 [1, 1.11]"
