family,model,condition,run_name,step,epoch,loss,learning_rate,grad_norm,source
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,500,0.010203561042803939,5.9521,9.898169499826542e-05,5.71875,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,1000,0.020407122085607878,5.0401,9.796134930514459e-05,5.84375,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,1500,0.030610683128411816,4.4911,9.694100361202376e-05,7.53125,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,2000,0.040814244171215756,4.1606,9.592065791890293e-05,7.4375,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,2500,0.05101780521401969,3.9216,9.49003122257821e-05,8.5625,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,3000,0.06122136625682363,3.7792,9.387996653266127e-05,6.03125,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,3500,0.07142492729962757,3.6527,9.285962083954044e-05,8.3125,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,4000,0.08162848834243151,3.5697,9.183927514641962e-05,7.03125,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,4500,0.09183204938523545,3.5115,9.081892945329879e-05,9.125,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
qwen3,Qwen3-0.6B,unfused,qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3,5000,0.10203561042803938,3.4691,8.979858376017796e-05,5.96875,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/models/qwen3_0p6b_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s42-ep1-gpu4-r3/checkpoint-49003/trainer_state.json
