experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Organ support,#CC3311,0.9592834911477456,0.9128112283391645,0.9857216602815019,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.057382898542851724,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Laboratory,#009988,0.7853064693410073,0.7091067501584106,0.955543636317789,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.056139461382927025,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Vitals,#332288,0.7010278529110243,0.6557199919541664,0.7444113380126796,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.05377923333575885,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Hospital outcomes,#0077BB,0.889745551431769,0.8087714385292424,0.9601915702321202,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.051547338782229724,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Vitals,#332288,0.472895394593527,0.3827115065890943,0.5395950336324892,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09610942978749082,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Biomarkers,#EE7733,0.4543591799600249,0.3184984295502015,0.5733588408406551,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.07780524034997299,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Hematology,#AA4499,0.7305117458795483,0.7281596802527718,0.7328638115063248,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.16224587568412385,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,discrete|time_tokens,Discrete (baseline),0.0,o,full,True,Electrolytes,#009988,0.47142498443984304,0.45727111309298385,0.4845434523657266,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.12505000836767394,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,soft|time_tokens,Soft discretization,1.0,s,full,False,Organ support,#CC3311,0.9585112552828922,0.9143652416890333,0.9829288673445689,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.057382898542851724,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,soft|time_tokens,Soft discretization,1.0,s,full,False,Laboratory,#009988,0.7832245790393838,0.691864058792103,0.9579612219681942,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.056139461382927025,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,soft|time_tokens,Soft discretization,1.0,s,full,False,Vitals,#332288,0.7011291059535821,0.6610241543173159,0.7428308620322219,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.05377923333575885,True,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,soft|time_tokens,Soft discretization,1.0,s,full,False,Hospital outcomes,#0077BB,0.8888695717034115,0.8079436261237658,0.9601071591465669,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.051547338782229724,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,soft|time_tokens,Soft discretization,1.0,s,full,False,Vitals,#332288,0.46868208218147384,0.3888666418130188,0.5379800001007299,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.09610942978749082,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,soft|time_tokens,Soft discretization,1.0,s,full,False,Biomarkers,#EE7733,0.4466067444958812,0.29349957185610787,0.5687328717814367,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.07780524034997299,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,soft|time_tokens,Soft discretization,1.0,s,full,False,Hematology,#AA4499,0.7231273994528714,0.7207166796490307,0.7255381192567121,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.16224587568412385,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,soft|time_tokens,Soft discretization,1.0,s,full,False,Electrolytes,#009988,0.46013211033217455,0.43650274437537845,0.481914386566336,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.12505000836767394,False,False
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Organ support,#CC3311,0.9019005926048939,0.8407852296102387,0.9325281979222415,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.057382898542851724,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Laboratory,#009988,0.7291670079580803,0.6501888503733522,0.9137192819879186,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.056139461382927025,False,True
exp2,llama_qwen_mean,value_encoding,Numeric representation,binary,roc_auc,xval|time_tokens,xVal,2.0,^,full,False,Vitals,#332288,0.6473498726178233,0.6012792445259456,0.690573185727652,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.05377923333575885,False,True
