experiment,config_id,config_label,backbone,seed,task_type,outcome,outcome_label,metric,point,n_test,test_cohort_rows,quantizer,anchoring,fusion,representation,temporal,effective_logreg_C,effective_ridge_alpha,source_artifact,source_sha256
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,same_admission_death,Hospital mortality,roc_auc,0.9631326657922392,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,same_admission_death,Hospital mortality,average_precision,0.223665991227935,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,same_admission_death,Hospital mortality,brier,0.0024699750897498704,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,same_admission_death,Hospital mortality,ece_15,0.0005494441394980529,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,long_length_of_stay,Long length of stay,roc_auc,0.80281442217697,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,long_length_of_stay,Long length of stay,average_precision,0.9266189189817331,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,long_length_of_stay,Long length of stay,brier,0.1315982027660935,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,long_length_of_stay,Long length of stay,ece_15,0.004244450947752523,85057,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,icu_admission,ICU admission,roc_auc,0.8247167086113225,71949,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,icu_admission,ICU admission,average_precision,0.2538720321910782,71949,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
