experiment,task_type,outcome,test_rows,labeled,unlabeled,positives
exp1,binary,crrt_initiation,85057.0,84947.0,0.0,56.0
exp1,binary,hemodialysis_initiation,85057.0,84866.0,0.0,118.0
exp1,binary,hyperkalemia,85057.0,58971.0,0.0,158.0
exp1,binary,hypoglycemia,85057.0,58499.0,0.0,325.0
exp1,binary,hypotension,85057.0,5003.0,0.0,1863.0
exp1,binary,icu_admission,85057.0,71949.0,0.0,1004.0
exp1,binary,imv_event,85057.0,83278.0,0.0,1153.0
exp1,binary,long_length_of_stay,85057.0,85057.0,0.0,66238.0
exp1,binary,profound_hyponatremia,85057.0,59350.0,0.0,29.0
exp1,binary,prolonged_icu_stay,85057.0,85057.0,0.0,8018.0
exp1,binary,same_admission_death,85057.0,85057.0,0.0,238.0
exp1,binary,severe_anemia,85057.0,57619.0,0.0,888.0
exp1,binary,severe_hypernatremia,85057.0,59502.0,0.0,16.0
exp1,binary,severe_hypertension,85057.0,10580.0,0.0,783.0
exp1,binary,severe_hypokalemia,85057.0,59656.0,0.0,36.0
exp1,binary,tachycardia_hr130,85057.0,10955.0,0.0,525.0
exp1,binary,vasopressor_initiation,85057.0,82207.0,0.0,592.0
exp1,regression,max_dbp,85057.0,11973.0,0.0,
exp1,regression,max_glucose,85057.0,58898.0,0.0,
exp1,regression,max_heart_rate,85057.0,12016.0,0.0,
exp1,regression,max_hemoglobin,85057.0,59675.0,0.0,
exp1,regression,max_sbp,85057.0,11973.0,0.0,
exp1,regression,max_sodium,85057.0,59570.0,0.0,
exp1,regression,min_bnp,85057.0,1175.0,0.0,
exp1,regression,min_creatinine,85057.0,60076.0,0.0,
exp1,regression,min_dbp,85057.0,11973.0,0.0,
exp1,regression,min_glucose,85057.0,58898.0,0.0,
exp1,regression,min_heart_rate,85057.0,12016.0,0.0,
exp1,regression,min_hemoglobin,85057.0,59675.0,0.0,
exp1,regression,min_potassium,85057.0,59808.0,0.0,
exp1,regression,min_sbp,85057.0,11973.0,0.0,
exp1,regression,min_sodium,85057.0,59570.0,0.0,
exp1,regression,min_troponin,85057.0,2628.0,0.0,
exp1,regression,peak_bnp,85057.0,1175.0,0.0,
exp1,regression,peak_creatinine,85057.0,60076.0,0.0,
exp1,regression,peak_potassium,85057.0,59808.0,0.0,
exp1,regression,peak_troponin,85057.0,2628.0,0.0,
exp2,binary,crrt_initiation,85057.0,84947.0,0.0,56.0
exp2,binary,hemodialysis_initiation,85057.0,84866.0,0.0,118.0
exp2,binary,hyperkalemia,85057.0,58971.0,0.0,158.0
exp2,binary,hypoglycemia,85057.0,58499.0,0.0,325.0
exp2,binary,hypotension,85057.0,5003.0,0.0,1863.0
exp2,binary,icu_admission,85057.0,71949.0,0.0,1004.0
exp2,binary,imv_event,85057.0,83278.0,0.0,1153.0
exp2,binary,long_length_of_stay,85057.0,85057.0,0.0,66238.0
exp2,binary,profound_hyponatremia,85057.0,59350.0,0.0,29.0
exp2,binary,prolonged_icu_stay,85057.0,85057.0,0.0,8018.0
exp2,binary,same_admission_death,85057.0,85057.0,0.0,238.0
exp2,binary,severe_anemia,85057.0,57619.0,0.0,888.0
exp2,binary,severe_hypernatremia,85057.0,59502.0,0.0,16.0
exp2,binary,severe_hypertension,85057.0,10580.0,0.0,783.0
exp2,binary,severe_hypokalemia,85057.0,59656.0,0.0,36.0
exp2,binary,tachycardia_hr130,85057.0,10955.0,0.0,525.0
exp2,binary,vasopressor_initiation,85057.0,82207.0,0.0,592.0
exp2,regression,max_dbp,85057.0,11973.0,0.0,
exp2,regression,max_glucose,85057.0,58898.0,0.0,
exp2,regression,max_heart_rate,85057.0,12016.0,0.0,
exp2,regression,max_hemoglobin,85057.0,59675.0,0.0,
exp2,regression,max_sbp,85057.0,11973.0,0.0,
exp2,regression,max_sodium,85057.0,59570.0,0.0,
exp2,regression,min_bnp,85057.0,1175.0,0.0,
